"name","price","gross","seller"
"华为荣耀9X","1939.00","600+","天翼电信旗舰店"
"华为荣耀20","2209.80","4000+","疆界互联旗舰店"
"华为荣耀20","888.00","3900+","京铠玄手机旗舰店"
"华为荣耀20","2499.00","3800+","佳沪手机旗舰店"
"华为荣耀20","1899.00","3700+","炜东电商旗舰店"
"华为荣耀20","998.00","3200+","中益德诚手机专营店"
"华为荣耀8X","1549.00","600+","众宇通手机专营店"
"华为荣耀8X","1099.00","400+","君问手机旗舰店"
"华为荣耀8X","1049.00","300+","千瑞达手机旗舰店"
"华为荣耀8X","1699.00","300+","北百手机旗舰店"
"华为荣耀8X","1018.00","300+","牧申手机旗舰店"
"华为荣耀8X","1253.00","300+","华信通手机专营店"
"华为荣耀8X","1299.00","200+","鹏瑶旗舰店"
"小米红米Note7","949.00","101万+","小米京东自营旗舰店"
"AppleiPhone7 Plus","3499.00","109万+","Apple产品京东自营旗舰店"
"AppleiPhone7","3499.00","109万+","Apple产品京东自营旗舰店"
"华为荣耀V20","1699.80","1.1万+","疆界互联旗舰店"
"小米红米6","2099.00","137万+","小米京东自营旗舰店"
"AppleiPhone 11","49.00","9.7万+","网易智造京东自营旗舰店"
"诺基亚105","169.00","200+","酷风行手机旗舰店"
"华为荣耀20","2599.00","2900+","天翼电信旗舰店"
"华为荣耀20","2349.00","2900+","疆界互联旗舰店"
"华为荣耀20","1899.00","2800+","新松联手机旗舰店"
"华为荣耀20","1899.00","2800+","掌视界数码旗舰店"
"华为荣耀20","1399.00","2600+","新松联手机旗舰店"
"华为荣耀20","1699.00","2500+","OKSJ手机旗舰店"
"华为荣耀20i","1089.00","71万+","荣耀京东自营旗舰店"
"小米红米Note7","926.00","1.9万+","佳沪手机旗舰店"
"小米红米Note7","1045.00","1.2万+","佳沪手机旗舰店"
"小米红米Note7","1048.00","6700+","同达丰手机旗舰店"
"小米红米Note7","1049.00","5300+","新松联手机旗舰店"
"小米红米Note7","919.00","3900+","新松联手机旗舰店"
"小米红米Note7","1065.00","3600+","宏图手机专营店"
"小米红米Note7","1038.00","3300+","明日数码旗舰店"
"小米红米Note7","1038.00","3100+","疆界互联旗舰店"
"小米红米Note7","958.00","2400+","明日数码旗舰店"
"小米红米Note7","1095.00","1600+","掌视界数码旗舰店"
"小米红米Note7","948.00","1400+","伟德手机专营店"
"小米红米Note7","979.00","1400+","鹏瑶旗舰店"
"AppleiPhone7 Plus","1888.00","2.4万+","好机汇二手商品专营店"
"AppleiPhone7 Plus","1146.00","2.4万+","经典二手商品专营店"
"AppleiPhone7 Plus","2539.00","2.4万+","经典二手商品专营店"
"AppleiPhone7 Plus","2758.00","1.8万+","佳沪手机旗舰店"
"AppleiPhone7 Plus","489.00","1.8万+","全美优品二手商品专营店"
"AppleiPhone7 Plus","999.00","1.6万+","经典二手商品专营店"
"AppleiPhone7 Plus","1818.00","1.3万+","翱行二手商品专营店"
"AppleiPhone7 Plus","3418.00","1.1万+","新松联手机旗舰店"
"AppleiPhone7 Plus","1806.00","1.1万+","扬帆二手商品专营店"
"AppleiPhone7 Plus","2689.00","1.1万+","翱行二手商品专营店"
"AppleiPhone7 Plus","1896.00","1万+","扬帆二手商品专营店"
"AppleiPhone7","2899.00","106万+","Apple产品京东自营旗舰店"
"AppleiPhone7","1399.00","2.7万+","经典二手商品专营店"
"AppleiPhone7","1888.00","2.4万+","好机汇二手商品专营店"
"AppleiPhone7","3199.00","2.4万+","经典二手商品专营店"
"AppleiPhone7","1146.00","2.4万+","经典二手商品专营店"
"AppleiPhone7","2539.00","2.4万+","经典二手商品专营店"
"AppleiPhone7","2559.00","2.3万+","经典二手商品专营店"
"AppleiPhone7","3537.00","1.9万+","可多优品二手手机专营店"
"AppleiPhone7","2758.00","1.8万+","佳沪手机旗舰店"
"AppleiPhone7","489.00","1.8万+","全美优品二手商品专营店"
"AppleiPhone7","1286.00","1.7万+","扬帆二手商品专营店"
"AppleiPhone7","999.00","1.6万+","经典二手商品专营店"
"AppleiPhone7","1439.00","1.4万+","扬帆二手商品专营店"
"华为荣耀V20","1899.00","8300+","佳沪手机旗舰店"
"华为荣耀V20","1899.00","3700+","炜东电商旗舰店"
"华为荣耀V20","1899.00","2800+","新松联手机旗舰店"
"华为荣耀V20","1899.00","2800+","掌视界数码旗舰店"
"华为荣耀V20","1699.00","2500+","OKSJ手机旗舰店"
"华为荣耀V20","1919.00","1600+","鹏瑶旗舰店"
"华为荣耀V20","1969.00","1400+","同达丰手机旗舰店"
"华为荣耀V20","1878.00","1400+","京联通达旗舰店"
"华为荣耀V20","1866.00","1100+","聚捷联盛手机旗舰店"
"华为荣耀V20","1699.00","900+","千瑞达手机旗舰店"
"华为荣耀V20","1799.00","800+","优爱特手机专营店"
"华为荣耀V20","1718.00","400+","伟德手机专营店"
"小米红米6","949.00","106万+","小米京东自营旗舰店"
"小米红米6","549.00","99万+","小米京东自营旗舰店"
"小米红米6","649.00","82万+","小米京东自营旗舰店"
"小米红米6","1999.00","56万+","小米京东自营旗舰店"
"小米红米6","2299.00","46万+","小米京东自营旗舰店"
"小米红米6","1299.00","33万+","小米京东自营旗舰店"
"小米红米6","1399.00","32万+","小米京东自营旗舰店"
"小米红米6","1799.00","27万+","小米京东自营旗舰店"
"小米红米6","1699.00","11万+","小米京东自营旗舰店"
"小米红米6","2399.00","11万+","小米京东自营旗舰店"
"小米红米6","1699.00","3万+","小米京东自营旗舰店"
"小米红米6","926.00","1.9万+","佳沪手机旗舰店"
"AppleiPhone 11","29.90","9.1万+","ISIDO数码旗舰店"
"AppleiPhone 11","5548.00","7万+","Apple产品京东自营旗舰店"
"AppleiPhone 11","6898.00","7万+","Apple产品京东自营旗舰店"
"AppleiPhone 11","39.00","5.8万+","ESCASE京东自营旗舰店"
"AppleiPhone 11","47.50","5.8万+","安优购数码专营店"
"AppleiPhone 11","268.00","4.7万+","UAG京东自营旗舰店"
"AppleiPhone 11","29.00","4.2万+","江铭数码旗舰店"
"AppleiPhone 11","78.80","4万+","SUPCASE旗舰店"
"AppleiPhone 11","5188.00","3.8万+","佳沪手机旗舰店"
"AppleiPhone 11","31.80","3.3万+","简美官方旗舰店"
"AppleiPhone 11","5908.00","3.2万+","中国移动手机官方旗舰店"
"诺基亚105","149.00","100+","掌视界数码旗舰店"
"诺基亚105","159.00","100+","宇航手机专营店"
"华为荣耀20i","2189.00","69万+","荣耀京东自营旗舰店"
"华为荣耀20i","2689.00","18万+","荣耀京东自营旗舰店"
"华为荣耀20i","999.40","1.3万+","京铠玄手机旗舰店"
"华为荣耀20i","1699.80","1.1万+","疆界互联旗舰店"
"小米红米Note7","928.00","1300+","华信通手机专营店"
"小米红米Note7","1049.00","1300+","聚捷联盛手机旗舰店"
"小米红米Note7","1059.00","800+","牧申手机旗舰店"
"小米红米Note7","1045.00","800+","茄子手机旗舰店"
"小米红米Note7","1099.00","700+","鹏瑶旗舰店"
"小米红米Note7","1048.00","600+","华信通手机专营店"
"小米红米Note7","968.00","500+","众盛手机专营店"
"小米红米Note7","1048.00","500+","谷高数码手机专营店"
"小米红米Note7","1038.00","400+","伟德手机专营店"
"小米红米Note7","1065.00","300+","淘金手机专营店"
"小米红米Note7","1299.00","300+","弘朝数码旗舰店"
"AppleiPhone7 Plus","1756.00","1万+","马上优品二手商品旗舰店"
"AppleiPhone7 Plus","1619.00","1万+","经典二手商品专营店"
"AppleiPhone7 Plus","668.00","9400+","翱行二手商品专营店"
"AppleiPhone7 Plus","3428.00","9000+","佳沪手机旗舰店"
"AppleiPhone7 Plus","2169.00","8600+","扬帆二手商品专营店"
"AppleiPhone7 Plus","1839.00","8300+","万城优品二手手机专营店"
"AppleiPhone7 Plus","2538.00","8100+","好机汇二手商品专营店"
"AppleiPhone7 Plus","1799.00","7700+","发动机优品二手手机专营店"
"AppleiPhone7 Plus","898.00","7200+","翱行二手商品专营店"
"AppleiPhone7 Plus","768.00","6500+","闪搜二手手机专营店"
"AppleiPhone7 Plus","1999.00","6200+","泰业优品二手手机旗舰店"
"AppleiPhone7 Plus","1798.00","5900+","全美优品二手商品专营店"
"AppleiPhone7","1818.00","1.3万+","翱行二手商品专营店"
"AppleiPhone7","3699.00","1.3万+","翱行二手商品专营店"
"AppleiPhone7","3279.00","1.3万+","翱行二手商品专营店"
"AppleiPhone7","1388.00","1.2万+","可多优品二手手机专营店"
"AppleiPhone7","3398.00","1.2万+","翱行二手商品专营店"
"AppleiPhone7","3418.00","1.1万+","新松联手机旗舰店"
"AppleiPhone7","1806.00","1.1万+","扬帆二手商品专营店"
"AppleiPhone7","2689.00","1.1万+","翱行二手商品专营店"
"AppleiPhone7","2788.00","1.1万+","新松联手机旗舰店"
"AppleiPhone7","1896.00","1万+","扬帆二手商品专营店"
"AppleiPhone7","779.00","1万+","马顺二手商品专营店"
"AppleiPhone7","1756.00","1万+","马上优品二手商品旗舰店"
"华为荣耀V20","2099.00","300+","爱优创杰手机旗舰店"
"华为荣耀V20","1738.00","300+","淘金手机专营店"
"华为荣耀V20","1999.00","300+","京铠玄手机旗舰店"
"华为荣耀V20","2399.00","200+","中国移动手机官方旗舰店"
"华为荣耀V20","1899.00","200+","华信通手机专营店"
"华为荣耀V20","2049.00","200+","君问手机旗舰店"
"华为荣耀V20","2399.00","200+","众宇通手机专营店"
"华为荣耀V20","2099.00","200+","中益德诚手机专营店"
"华为荣耀V20","2399.00","100+","茄子手机旗舰店"
"华为荣耀V20","2399.00","100+","众宇通手机专营店"
"华为荣耀V20","2399.00","100+","银河信业手机专营店"
"华为荣耀V20","2399.00","100+","优品美手机专营店"
"华为荣耀V20","1799.00","90+","久汇通官方旗舰店"
"华为荣耀V20","2399.00","90+","常开泰达手机专营店"
"小米红米6","1045.00","1.2万+","佳沪手机旗舰店"
"小米红米6","618.00","1.1万+","弘朝数码旗舰店"
"小米红米6","555.00","9100+","疆界互联旗舰店"
"小米红米6","569.00","7300+","明日数码旗舰店"
"小米红米6","1997.90","7200+","小米京东自营旗舰店"
"小米红米6","1048.00","6700+","同达丰手机旗舰店"
"小米红米6","529.00","6500+","佳沪手机旗舰店"
"小米红米6","1049.00","5300+","新松联手机旗舰店"
"小米红米6","1298.00","5200+","佳沪手机旗舰店"
"小米红米6","559.00","5200+","掌视界数码旗舰店"
"小米红米6","638.00","5200+","众盛手机专营店"
"AppleiPhone 11","329.00","2.9万+","Apple产品京东自营旗舰店"
"AppleiPhone 11","39.90","2.8万+","瓦力（valea）京东自营旗舰店"
"AppleiPhone 11","26.90","2.7万+","KEKLLE京东自营旗舰店"
"AppleiPhone 11","25.00","2.3万+","网易智造京东自营旗舰店"
"AppleiPhone 11","58.00","2.3万+","东来也京东自营旗舰店"
"AppleiPhone 11","24.80","2.3万+","闪魔旗舰店"
"AppleiPhone 11","28.00","2.2万+","弘展发手机配件专营店"
"AppleiPhone 11","52.00","2.1万+","彩声数码3c配件专营店"
"AppleiPhone 11","369.00","1.9万+","UAG京东自营旗舰店"
"AppleiPhone 11","5138.00","1.8万+","同达丰手机旗舰店"
"AppleiPhone 11","498.00","1.8万+","UAG京东自营旗舰店"
"AppleiPhone 11","26.80","1.8万+","江然旗舰店"
"华为荣耀20i","999.80","9000+","疆界互联旗舰店"
"华为荣耀20i","999.00","7500+","掌视界数码旗舰店"
"华为荣耀20i","946.00","7400+","炜东电商旗舰店"
"华为荣耀20i","999.00","4800+","佳沪手机旗舰店"
"华为荣耀20i","919.00","3900+","京铠玄手机旗舰店"
"华为荣耀20i","2579.00","4000+","疆界互联旗舰店"
"华为荣耀20i","1219.00","3200+","中益德诚手机专营店"
"华为荣耀20i","2349.00","2900+","疆界互联旗舰店"
"华为荣耀20i","1399.00","2600+","新松联手机旗舰店"
"华为荣耀20i","999.00","2300+","千瑞达手机旗舰店"
"小米红米Note7","1038.00","200+","炜东电商旗舰店"
"小米红米Note7","999.00","200+","时器数码旗舰店"
"小米红米Note7","1499.00","200+","弘朝数码旗舰店"
"小米红米Note7","1159.00","200+","疆界互联旗舰店"
"小米红米Note7","1099.00","200+","时器数码旗舰店"
"AppleiPhone7 Plus","3379.00","5800+","全美优品二手商品专营店"
"AppleiPhone7 Plus","2088.00","5000+","马上优品二手商品旗舰店"
"AppleiPhone7 Plus","1438.00","4300+","福汇优品二手手机专营店"
"AppleiPhone7 Plus","1789.00","4300+","可多优品二手手机专营店"
"AppleiPhone7","1619.00","1万+","经典二手商品专营店"
"AppleiPhone7","1029.00","9800+","发动机优品二手手机专营店"
"AppleiPhone7","1338.00","9500+","经典二手商品专营店"
"AppleiPhone7","668.00","9400+","翱行二手商品专营店"
"华为荣耀V20","1739.00","90+","众盛手机专营店"
"华为荣耀V20","1799.00","90+","明日数码旗舰店"
"小米红米6","1018.00","3900+","佳沪手机旗舰店"
"小米红米6","1188.00","3900+","疆界互联旗舰店"
"小米红米6","919.00","3900+","新松联手机旗舰店"
"小米红米6","1065.00","3600+","宏图手机专营店"
"小米红米6","2699.00","3400+","明日数码旗舰店"
"AppleiPhone 11","29.00","1.8万+","MKING旗舰店"
"AppleiPhone 11","88.00","1.6万+","港恩手机配件专营店"
"AppleiPhone 11","25.00","1.6万+","技光京东自营旗舰店"
"华为荣耀20i","999.00","2100+","众盛手机专营店"
"AppleiPhone7 Plus","998.00","4000+","翱行二手商品专营店"
"AppleiPhone7 Plus","1789.00","3900+","瓜子二手商品专营店"
"华为荣耀20i","1499.00","1700+","牧申手机旗舰店"
"华为荣耀20i","999.00","1600+","聚捷联盛手机旗舰店"
"华为荣耀20i","999.00","1400+","众宇通手机专营店"
"华为荣耀20i","999.00","1200+","OKSJ手机旗舰店"
"华为荣耀20i","999.00","1100+","佳沪手机旗舰店"
"华为荣耀20i","1099.00","1100+","易销科技手机专营店"
"华为荣耀20i","1299.00","900+","东呵东手机专营店"
"华为荣耀20i","1999.00","800+","优爱特手机专营店"
"华为荣耀20i","1799.00","700+","京合旗舰店"
